Season,Opponent,Result,UNC Score,Opp Score,Ref 1,Ref 2,Ref 3,Point Spread
2010-11,Illinois,L,67,79,Mike Kitts,Terry Wymer,Lamont Simpson,6
2010-11,College of Charleston,W,74,69,Karl Hess,Les Jones,Jerry Heater,-14
2010-11,Asheville,W,80,69,Mike Eades,Tim Comer,Dan Stryffeler,
2010-11,Vanderbilt,L,65,72,Jamie Luckie,Randy Heimerman,Kevin Mathis,-4
2010-11,Minnesota,L,67,72,Don Daily,Bert Smith,Steve Skiles,-6
2010-11,Hofstra,W,107,63,Kelly Self,Kevin Mathis,Anthony Jordan,-14.5
2010-11,Lipscomb,W,80,66,Ray Natili,Tony Dawkins,Sean Casady,
2009-10,Dayton,L,68,79,Jim Burr,Pat Driscoll,Earl Walton,3
2009-10,Rhode Island ,W,68,67,Ed Corbett,Jeff Clark,James Breeding,1
2009-10,UAB,W,60,55,Mike Stuart,James Barker,Bert Smith,4.5
2009-10,Mississippi State,W,76,74,Mike Thibodeaux,Kevin Mathis,Glenn Tuitt,7.5
2009-10,William & Mary,W,80,72,Karl Hess,Brian O'Connell,Wally Rutecki,-9
2009-10,Georgia Tech,L,58,62,Bryan Kersey,Mike Wood,Dwayne Gladden,3.5
2009-10,Duke,L,50,82,Bryan Kersey,Gary Maxwell,Mike Wood,15
2009-10,Miami,W,69,62,Karl Hess,Tony Greene,Les Jones,-4.5
2009-10,Wake Forest,W,77,68,Roger Ayers,Raymond Styons,Jamie Luckie,7
2009-10,Florida State,L,67,77,Karl Hess,Bryan Kersey,Ray Natili,2
2009-10,Boston College,L,67,71,Jamie Luckie,Sean Hull,Pat Driscoll,3
2009-10,Georgia Tech,L,51,68,Bryan Kersey,Gary Maxwell,John Cahill,6
2009-10,NC State,W,74,61,Mike Eades,Mike Stuart,Tim Nestor,-7
2009-10,Duke,L,54,64,Karl Hess,Les Jones,Roger Ayers,5.5
2009-10,Maryland,L,71,92,Karl Hess,Jim Burr,Bryan Kersey,6
2009-10,Virginia Tech,L,70,74,John Cahill,Mike Kitts,Tony Greene,3.5
2009-10,UVA,L,60,75,Mike Eades,Bernard Clinton,Brian Dorsey,-8
2009-10,NC State,W,77,63,Les Jones,Ray Natili,Robert Donato,-1
2009-10,Wake Forest,L,69,82,Karl Hess,Gary Maxwell,Mike Eades,-6.5
2009-10,Georgia Tech,L,71,73,Mike Wood,Roger Ayers,Ray Perone,-6.5
2009-10,Clemson,L,64,83,Les Jones,Bryan Kersey,Tim Nestor,5
2009-10,Virginia Tech,W,78,64,Jamie Luckie,Ray Natili,Mike Kitts,-8
2009-10,College of Charleston ,L,79,82,Mike Wood,Mike Stuart,Roger Ayers,-13.5
2009-10,Albany,W,87,70,Mike Eades,Tim Nestor,Ray Perone,-25.5
2009-10,Rutgers,W,81,67,Jamie Luckie,Sean Hull,Mike Kitts,-20
2009-10,Marshall,W,98,61,Gary Maxwell,Doug Sirmons,Jerry Heater,-13
2009-10,Texas,L,90,103,Tom O'Neill,John Higgins,Mark Whitehead,7
2009-10,Presbyterian,W,103,64,Mike Wood,Ray Natili,Tony Dawkins,
2009-10,Kentucky,L,66,68,Tony Greene,Ted Valentine,Mike Eades,3.5
2009-10,Michigan State,W,89,82,Bryan Kersey,Roger Ayers,Mike Kitts,-1.5
2009-10,Nevada,W,80,73,Jamie Luckie,Ed Corbett,John Cahill,-15
2009-10,Gardner Webb,W,93,72,Mike Wood,Bernard Clinton,Jerry Heater,
2009-10,Syracuse,L,71,87,Tony Greene,Roger Ayers,Mike Stuart,-1.5
2009-10,Ohio State,W,77,73,Pat Driscoll,Mike Stuart,Michael Stephens,-2
2009-10,Valparaiso,W,88,77,Karl Hess,Brent Hampton,Pat Adams,-23
2009-10,NC Central,W,89,42,Tim Nestor,Alan Spainhour,Steve Coleman,-43.5
2009-10,FIU,W,88,72,Mike Wood,Raymond Styons,Bill Covington Jr.,-32.5
2008-09,Michigan State,W,89,72,Tom O'Neill,Curtis Shaw,Tony Greene,-7.5
2008-09,Villanova,W,83,69,Karl Hess,Scott Thornley,Pat Driscoll,-7
2008-09,Oklahoma,W,72,60,Tom Eades,Verne Harris,John Hughes,-7
2008-09,Gonzaga,W,98,77,Scott Thornley,John Higgins,Mark Whitehead,-7.5
2008-09,LSU,W,84,70,Karl Hess,Pat Driscoll,Doug Sirmons,-12.5
2008-09,Radford,W,101,58,Pat Driscoll,Doug Sirmons,Jeffrey Anderson,-25
2008-09,Florida State,L,70,73,Jamie Luckie,Bryan Kersey,Sean Hull,-9
2008-09,Virginia Tech,W,79,76,Karl Hess,Ray Natili,Brian Dorsey,-11.5
2008-09,Duke,W,79,71,Jamie Luckie,Bryan Kersey,Mike Eades,-8.5
2008-09,Virginia Tech,W,86,78,Ed Corbett,Sean Hull,Ray Natili,-9.5
2008-09,Georgia Tech,W,104,74,Karl Hess,Les Jones,Roger Ayers,-23
2008-09,Maryland,L,85,88,Karl Hess,Gary Maxwell,Brian Dorsey,-12
2008-09,NC State,W,89,80,Jamie Luckie,Ed Corbett,Mike Eades,-19.5
2008-09,Miami,W,69,65,John Cahill,Sean Hull,Mike Kitts,-8
2008-09,Duke,W,101,87,Karl Hess,Tony Greene,Mike Wood,-2
2008-09,UVA,W,76,61,Bernard Clinton,Ray Natili,Robert Donato,-24
2008-09,Maryland,W,108,91,John Cahill,Roger Ayers,Tony Greene,-22
2008-09,NC State,W,93,76,Karl Hess,Mike Eades,Brian Dorsey,-15
2008-09,Florida State,W,80,77,Karl Hess,Mike Eades,Brian Dorsey,-11
2008-09,Clemson,W,94,70,Karl Hess,Roger Ayers,Robert Donato,-13
2008-09,Miami,W,82,65,Les Jones,Mike Wood,Mike Eades,-17.5
2008-09,UVA,W,83,61,Ed Corbett,John Cahill,Tony Greene,-16.5
2008-09,Wake Forest,L,89,92,Karl Hess,Bernard Clinton,Jamie Luckie,-6.5
2008-09,College of Charleston,W,108,70,Karl Hess,Les Jones,Bryan Kersey,-27
2008-09,Boston College,L,78,85,Gary Maxwell,Mike Eades,Robert Donato,-23
2008-09,Nevada,W,84,61,Randy McCall,Verne Harris,Bruce Hicks,-18.5
2008-09,Rutgers,W,97,75,Jamie Luckie,Sean Hull,Robert Donato,-33
2008-09,Valparaiso,W,85,63,Brian Dorsey,Jim Ferrari,Peter Juzenas,-29
2008-09,Evansville,W,91,73,Karl Hess,Bryan Kersey,Mark Schnur,-30.5
2008-09,Oral Roberts,W,100,84,Jamie Luckie,Mike Wood,Brian Dorsey,-36
2008-09,Michigan State,W,98,63,Ed Hightower,Jim Burr,Steve Welmer,-10
2008-09,Asheville,W,116,48,Ray Natili,Tony Greene,Mike Nance,
2008-09,Notre Dame,W,102,87,Jamie Luckie,Robert Donato,Verne Harris,-10.5
2008-09,Oregon,W,98,69,Mike Kitts,J.D. Collins,Bert Smith,-17.5
2008-09,Chaminade,W,115,70,Dwayne Gladden,Tom Defelice,Verne Harris,
2008-09,UC Santa Barbara,W,84,67,Dick Cartmell,Mike Scyphers,Duane Allen,-19
2008-09,Kentucky,W,77,58,Karl Hess,Gary Maxwell,Roger Ayers,-18.5
2008-09,Penn,W,86,71,Bryan Kersey,Jeff Clark,Tim Kelly,-32.5
2007-08,Kansas,L,66,84,Tony Greene,Tom Eades,Verne Harris,-2.5
2007-08,Louisville,W,83,73,Ed Corbett,Scott Thornley,Terry Wymer,-5.5
2007-08,Washington State,W,68,47,Tim Higgins,John Hughes,Raymond Perone,-8
2007-08,Arkansas,W,108,77,Ed Corbett,Verne Harris,Dwayne Gladden,-9.5
2007-08,Mount St. Mary's,W,113,74,Paul Jenssen,Fred Davis,Gary Prager,-25
2007-08,Clemson,W,86,81,Jamie Luckie,Les Jones,Mike Eades,-5.5
2007-08,Virginia Tech,W,68,66,Karl Hess,Bryan Kersey,Gary Maxwell,-10.5
2007-08,Florida State,W,82,70,Bryan Kersey,Tim Nestor,Roger Ayers,-13.5
2007-08,Duke,W,76,68,Karl Hess,Ted Valentine,Roger Ayers,1.5
2007-08,Florida State,W,90,77,Bryan Kersey,Mike Eades,Sean Hull,-16
2007-08,Boston College,W,90,80,Jamie Luckie,Gary Maxwell,Roger Ayers,-10.5
2007-08,Wake Forest,W,89,73,Les Jones,Robert Donato,Reggie Greenwood,-15.5
2007-08,NC State,W,84,70,Roger Ayers,John Cahill,J.D. Collins,-8.5
2007-08,Virginia Tech,W,92,53,Sean Hull,Brian Dorsey,Ray Perone,-13
2007-08,UVA,W,75,74,Karl Hess,Ed Corbett,Tim Nestor,-7.5
2007-08,Clemson,W,103,93,Ted Valentine,Bernard Clinton,Tony Greene,-8.5
2007-08,Duke,L,78,89,Jamie Luckie,Tony Greene,Les Jones,-4.5
2007-08,Florida State ,W,84,73,Mike Eades,Tim Nestor,Mike Stuart,-9.5
2007-08,Boston College,W,91,69,Mike Wood,Curtis Shaw,Tony Greene,-18.5
2007-08,Miami,W,98,82,Sean Hull,Ray Natili,Tim Kelly,-8
2007-08,Maryland,L,80,82,Karl Hess,Jamie Luckie,Brian Dorsey,-18
2007-08,Georgia Tech,W,83,82,Mike Wood,Mike Eades,Roger Ayers,-11
2007-08,NC State,W,93,62,Bryan Kersey,Bernard Clinton,Pat Driscoll,-18.5
2007-08,Asheville,W,93,81,Les Jones,Raymond Styons,Doug Sirmons,
2007-08,Clemson,W,90,88,Gary Maxwell,Tony Greene,Ray Natili,-5.5
2007-08,Kent State,W,90,61,Sean Hull,Tim Nestor,Mike Kitts,-19
2007-08,Valparaiso,W,90,58,Gary Maxwell,Brian Dorsey,Mike Eades,-22.5
2007-08,Nevada,W,106,70,Karl Hess,Mike Wood,Roger Ayers,-23
2007-08,UC Santa Barbara,W,105,70,Ted Valentine,Bryan Kersey,Jerry Heater,-20.5
2007-08,Nicholls State,W,88,78,Les Jones,Jose Carrion,Brian Dorsey,
2007-08,Rutgers,W,93,71,Ed Corbett,Jamie Luckie,J.D. Collins,-19
2007-08,Penn,W,106,71,Jeff Clark,Jeff Nichols,Tim Kelly,-25.5
2007-08,Kentucky,W,86,77,Mike Stuart,Tom Eades,Karl Hess,-8.5
2007-08,Ohio State,W,66,55,Ted Hillary,Jim Burr,Ed Corbett,-5.5
2007-08,BYU,W,73,63,David Libbey,Tom Spitznagel,Kevin Cutler,-8
2007-08,Old Dominion,W,99,82,Verne Harris,Mike Reed,Mike Scyphers,-16.5
2007-08,South Carolina State,W,110,64,D.J. Carstensen,Frankie Bordeaux,Jay Gwynn,
2007-08,Iona,W,107,72,John Gaffney,Paul Faia,Earl Walton,-34
2007-08,Davidson,W,72,68,Mike Wood,Zelton Steed,Gary Maxwell,-11
2006-07,Georgetown ,L,84,96,Curtis Shaw,Mike Scyphers,John Higgins,-3.5
2006-07,USC,W,74,64,Tom Lopes,Mike Sanzere,Mike Roberts,-9
2006-07,Michigan State,W,81,67,Randy McCall,Pat Driscoll,Doug Sirmons,-10
2006-07,EKU,W,86,65,Verne Harris,Bruce Hicks,Steve Welmer,-28
2006-07,NC State,W,89,80,Karl Hess,Bryan Kersey,Gary Maxwell,-14.5
2006-07,Boston College,W,71,56,Les Jones,Jamie Luckie,Mike Eades,-11
2006-07,Florida State,W,73,58,Mike Wood,Les Jones,Roger Ayers,-11.5
2006-07,Duke,W,86,72,Karl Hess,Jamie Luckie,Les Jones,-10
2006-07,Georgia Tech,L,77,84,Tony Greene,Curtis Shaw,Bryan Kersey,-5.5
2006-07,Maryland,L,87,89,Gary Maxwell,Tom Lopes,Karl Hess,-3.5
2006-07,NC State,W,83,64,Bryan Kersey,Mike Eades,Pat Adams,-21
2006-07,Boston College,W,77,72,Karl Hess,Earl Walton,Ray Natili,-6.5
2006-07,Virginia Tech,L,80,81,Jamie Luckie,J.B. Caldwell,Curtis Shaw,-15
2006-07,Wake Forest,W,104,67,Les Jones,Roger Ayers,Bernard Clinton,-23.5
2006-07,Duke,W,79,73,Ted Valentine,Gary Maxwell,Reggie Greenwood,-4
2006-07,NC State,L,79,83,Bryan Kersey,Ray Natili,Curtis Shaw,-16.5
2006-07,Miami,W,105,64,Karl Hess,Mike Kitts,Robert Donato,-24.5
2006-07,Arizona,W,92,64,Bryan Kersey,Mike Eades,Mike Wood,-2.5
2006-07,Wake Forest,W,88,60,Gary Maxwell,John Cahill,Brian Dorsey,-15.5
2006-07,Georgia Tech,W,77,61,Ted Valentine,Les Jones,Ray Natili,-12.5
2006-07,Clemson,W,77,55,Mike Eades,Roger Ayers,Duke Edsall,-4
2006-07,Virginia Tech,L,88,94,Mike Wood,Ray Natili,Sean Hull,-4.5
2006-07,UVA,W,79,69,Mark Kitts,Curtis Shaw,Earl Walton,-18
2006-07,Florida State,W,84,58,Ted Valentine,Mike Eades,Gary Maxwell,-15
2006-07,Penn,W,102,64,Jamie Luckie,Roger Ayers,Earl Walton,-21
2006-07,Dayton,W,81,51,Karl Hess,Mike Eades,Brian Dorsey,-22
2006-07,Rutgers,W,87,48,Karl Hess,Bernard Clinton,Michael Stephens,-26.5
2006-07,Saint Louis,W,69,48,Robert Donato,Jim Burr,Ray Perone,-8.5
2006-07,Florida Atlantic,W,105,52,Les Jones,Tim Nestor,Sean Hull,-32.5
2006-07,Asheville,W,93,62,Mike Wood,Dan Stryffeler,Raymond Styons,
2006-07,High Point,W,94,69,Manny Upton,Jerry Heater,Roger Ayers,
2006-07,Kentucky,W,75,63,Karl Hess,Ted Valentine,Tom Lopes,-10.5
2006-07,Ohio State,W,98,89,Bryan Kersey,Tony Greene,Les Jones,-8.5
2006-07,Tennessee,W,101,87,Joe Lindsay,Jamie Luckie,Doug Shows,-9
2006-07,Gonzaga,L,74,82,Jim Burr,Ed Corbett,Mike Shepherd,-7.5
2006-07,Gardner Webb,W,103,50,Les Jones,Jerry Heater,Mark Schnur,
2006-07,Winthrop,W,73,66,Mike Kitts,Tom Lopes,Bernard Clinton,-11.5
2006-07,Sacred Heart,W,103,81,Doug Shows,J.B. Caldwell,Tim Clougherty,-34
2005-06,George Mason,L,60,65,Reggie Greenwood,Ted Hillary,Tom O'Neill,-6
2005-06,Murray State,W,69,65,Tom O'Neill,Mike Scyphers,Bill Vinovich,-10
2005-06,Boston College,L,82,85,Les Jones,Ray Natili,Mike Eades,-3.5
2005-06,UVA,W,79,67,Bryan Kersey,Duke Edsall,Bernard Clinton,-12
2005-06,Duke,W,83,76,Karl Hess,Ted Valentine,Ray Natili,7
2005-06,UVA,W,99,54,Gary Maxwell,Roger Ayers,Tim Nestor,-13
2005-06,Maryland,W,81,57,Reggie Greenwood,Tom Lopes,Brian Dorsey,-8.5
2005-06,NC State,W,95,71,Bryan Kersey,John Cahill,Les Jones,3
2005-06,Wake Forest,W,83,72,Mike Kitts,Mike Wood,Mike Stuart,-3.5
2005-06,Georgia Tech,W,82,75,Les Jones,Bernard Clinton,Roger Ayers,-11.5
2005-06,Miami,W,80,70,Jamie Luckie,Tony Greene,Tim Nestor,1
2005-06,Duke,L,83,87,Jamie Luckie,Jim Burr,Tim Higgins,5.5
2005-06,Clemson,W,76,61,Les Jones,Bryan Kersey,Jim Burr,-7.5
2005-06,Maryland,W,77,62,Karl Hess,Ed Corbett,Mike Kitts,4
2005-06,Arizona,W,86,69,Bruce Hicks,Mark Reischling,Mike Reed,-3.5
2005-06,Boston College,L,74,81,Gary Maxwell,Jamie Luckie,Mike Eades,-3
2005-06,Florida State,W,81,80,Les Jones,Karl Hess,Tim Higgins,3
2005-06,UVA,L,68,72,Karl Hess,Les Jones,Bernard Clinton,-3
2005-06,Miami,L,70,81,Gary Maxwell,Duke Edsall,Mike Wood,-10.5
2005-06,Virginia Tech,W,64,61,Ed Corbett,Ted Valentine,Tony Greene,-1
2005-06,NC State,W,82,69,Karl Hess,Jamie Luckie,Mike Wood,-2.5
2005-06,Davidson,W,82,58,Ray Natili,Curtis Blair,Mike Eades,-10.5
2005-06,Asheville,W,89,47,Ted Valentine,Tim Nestor,Roger Ayers,
2005-06,USC,L,59,74,Stanley Reynolds,Jim Giron,Martin Cota,-4.5
2005-06,Santa Clara,W,76,58,Jamie Luckie,Ray Natili,Bryan Kersey,-17.5
2005-06,Saint Louis,W,75,63,Bryan Kersey,Bernard Clinton,Mike Wood,-13.5
2005-06,Kentucky,W,83,79,Tony Greene,Karl Hess,Doug Sirmons,7
2005-06,Illinois,L,64,68,Jim Burr,Ray Natili,Karl Hess,-1
2005-06,UC Santa Barbara,W,83,66,Gary Maxwell,Mike Wood,Tim Nestor,-13.5
2005-06,Cleveland State,W,112,55,Gary Maxwell,Doug Sirmons,Dwayne Gladden,-18.5
2005-06,Gardner Webb,W,83,80,Les Jones,Tony Greene,Steve Gordon,
2004-05,Illinois,W,75,70,Ed Corbett,John Cahill,Verne Harris,-2
2004-05,Michigan State,W,87,71,Robert Donato,Reggie Greenwood,Randy McCall,-4.5
2004-05,Wisconsin,W,88,82,John Cahill,Richard Cartmell,Bruce Hicks,-9.5
2004-05,Villanova,W,67,66,Tom O'Neill,David Hall,Gerry Pollard,-11
2004-05,Iowa State,W,92,65,Scott Thornley,Eddie Jackson,Ted Hillary,-15.5
2004-05,Oakland,W,96,68,Ted Hillary,Mike Nance,Jim Stupin,-28
2004-05,Georgia Tech,L,75,78,Karl Hess,Bryan Kersey,Ray Natili,-8
2004-05,Clemson,W,88,81,Les Jones,Jamie Luckie,Tim Nestor,-16.5
2004-05,Duke,W,75,73,Larry Rose,Reggie Cofer,Gary Maxwell,-7.5
2004-05,Florida State,W,91,76,Bryan Kersey,Les Jones,Mike Kitts,-22
2004-05,Maryland,W,85,83,Karl Hess,Mike Wood,Ray Natili,-6.5
2004-05,NC State,W,81,71,Les Jones,Ed Corbett,Ted Valentine,-7
2004-05,Clemson,W,88,56,Mike Wood,Gary Maxwell,Mike Eades,-22.5
2004-05,UVA,W,85,61,Larry Rose,William Bush,Tim Nestor,-23
2004-05,Connecticut,W,77,70,Karl Hess,Bryan Kersey,Mike Kitts,-8
2004-05,Duke,L,70,71,Mike Wood,Les Jones,Bryan Kersey,-1.5
2004-05,Florida State,W,81,60,Duke Edsall,Steve Gordon,Tony Greene,-14
2004-05,NC State,W,95,71,Karl Hess,Reggie Cofer,Robert Donato,-16
2004-05,UVA,W,110,76,Duke Edsall,Ray Natili,Jamie Luckie,-14
2004-05,Miami,W,87,67,Duke Edsall,Steve Gordon,Roger Ayers,-21
2004-05,Clemson,W,77,58,Larry Rose,Bryan Kersey,Joe Lindsay,-12
2004-05,Wake Forest,L,82,95,Bernard Clinton,Karl Hess,Mike Wood,-2.5
2004-05,Georgia Tech,W,91,69,Larry Rose,Jamie Luckie,Robert Donato,-11
2004-05,Maryland,W,109,75,Larry Rose,Reggie Cofer,Ted Valentine,-11.5
2004-05,William & Mary,W,105,66,Duke Edsall,Emanuel Upton,Frank Raposo,-40.5
2004-05,Cleveland State,W,107,64,Ray Natili,Sean Hull,Raymond Styons,-32
2004-05,UNC-Wilmington,W,96,75,Duke Edsall,Mike Eades,Alan Spainhour,-31
2004-05,Vermont,W,93,65,Robert Donato,Roger Ayers,Dwayne Gladden,
2004-05,Virginia Tech,W,85,51,Karl Hess,Edwin Edsall,Bryan Kersey,-14.5
2004-05,Loyola Chicago,W,109,60,Reggie Cofer,Tony Greene,David Guthrie,-29
2004-05,Kentucky,W,91,78,Karl Hess,Les Jones,Tony Greene,-8.5
2004-05,Indiana,W,70,63,Jim Burr,Donnee Gray,Tim Higgins,-13
2004-05,USC,W,97,65,Mike Wood,Gary Maxwell,Reggie Cofer,-17.5
2004-05,Iowa,W,106,92,Robert Donato,Tony Greene,Verne Harris,-11
2004-05,Tennessee,W,94,81,Verne Harris,Mike Eades,Pat Evans,-10
2004-05,BYU,W,86,50,Robert Donato,Craig Peterson,J.D. Collins,-13
2004-05,Santa Clara,L,66,77,David Libbey,Mike Irving,Verne Harris,-13
2003-04,Texas,L,75,78,John Cahill,Donnee Gray,Rob Staffen,-1
2003-04,Air Force,W,63,52,John Cahill,Robert Adams,John Caldwell,-8.5
2003-04,Georgia Tech,L,82,83,Duke Edsall,Les Jones,Jamie Luckie,-1.5
2003-04,Duke,L,65,70,Mike Wood,Gary Maxwell,Reggie Cofer,9.5
2003-04,Clemson,W,69,53,Mike Kitts,Duke Edsall,Larry Rose,-17.5
2003-04,NC State,W,71,64,Mike Stuart,Bryan Kersey,Robert Donato,4
2003-04,UVA,L,72,74,Karl Hess,Ted Valentine,Bernard Clinton,-5.5
2003-04,Florida State,W,78,71,Mike Wood,Gary Maxwell,Steve Gordon,-11.5
2003-04,Maryland,W,97,86,Mike Stuart,Jamie Luckie,Reggie Cofer,-8
2003-04,Georgia Tech,L,77,88,Karl Hess,Ray Natili,Mike Eades,4.5
2003-04,Wake Forest,W,79,73,Reggie Cofer,Jamie Luckie,Mike Wood,3.5
2003-04,Duke,L,81,83,Karl Hess,Bryan Kersey,Duke Edsall,3.5
2003-04,Clemson,L,72,81,Ted Valentine,Ray Natili,Les Jones,-8.5
2003-04,NC State,W,68,66,Mike Wood,Robert Donato,William Bush,-9
2003-04,UVA,W,96,77,Jamie Luckie,Les Jones,Larry Rose,-15.5
2003-04,Florida State,L,81,90,Ted Valentine,John Cahill,Roger Ayers,-4
2003-04,Connecticut,W,86,83,Karl Hess,Robert Donato,Les Jones,-2
2003-04,Maryland,L,84,90,Duke Edsall,Mike Wood,Bryan Kersey,2
2003-04,Georgia Tech,W,103,88,Ed Corbett,Mike Kitts,Steve Gordon,-4.5
2003-04,Miami,W,89,64,Bryan Kersey,Lee Jones,Tom Lopes,-17
2003-04,Kentucky,L,56,61,John Clougherty,Tom Lopes,Tom Eades,5
2003-04,Coastal Carolina,W,105,72,Jamie Luckie,Alan Spainhour,Sean Hull,
2003-04,UNC-Wilmington,W,71,54,Mike Wood,Duke Edsall,Reggie Cofer,-14
2003-04,Wake Forest,L,114,119,Jamie Luckie,Duke Edsall,Reggie Cofer,-4
2003-04,Akron,W,64,53,Ted Valentine,Ray Natili,Robert Donato,-20
2003-04,George Mason,W,115,81,Les Jones,Larry Rose,Steve Gordon,-14.5
2003-04,Illinois,W,88,81,Reggie Cofer,Jamie Luckie,Bryan Kersey,-2
2003-04,Cleveland State,W,82,76,Gary Maxwell,Everett Summers,Sean Carpenter,-16
2003-04,Davidson,W,91,68,Mike Wood,Tim Nestor,Mike Eades,-17.5
2003-04,Old Dominion,W,90,64,Karl Hess,Mike Eades,Jerry Heater,-20
