Season,Date,Opponent,Result,Type,Pace,UNC PPP,UNC eFG%,UNC TO%,UNC OR%,UNC FTRate,UNC 2PTM,UNC 2PTA,UNC 2PT%,UNC 3PTM,UNC 3PTA,UNC 3PT%,UNC 3PTRate,UNC FTM,UNC FTA,UNC FT%,OPP PPP,OPP eFG%,OPP TO%,OPP OR%,OPP FTRate,OPP 2PTM,OPP 2PTA,OPP 2PT%,OPP 3PTM,OPP 3PTA,OPP 3PT%,OPP 3PTRate,OPP FTM,OPP FTA,OPP FT%,UNC Fouls,OPP Fouls,TOTAL FOULS,Ref 1,Ref 2 ,Ref 3,POINT SPREAD
2005-06,26-Feb-06,Maryland,W,League,81,1,45.9,19.6,37.5,30.1,23,57,40.4,7,16,43.8,21.9,14,22,63.6,0.7,29.4,20.9,29.4,35.3,17,58,29.3,2,10,20,14.7,17,24,70.8,19,21,40,Reggie Greenwood,Tom Lopes,Brian Dorsey,-8.5
2005-06,22-Feb-06,NC State,W,League,64,1.48,60.9,9.4,50,24.6,27,43,62.8,10,26,38.5,37.7,11,17,64.7,1.11,50,12.5,25,44.2,17,27,63,6,25,24,48.1,19,23,82.6,22,16,38,Bryan Kersey,John Cahill,Les Jones,3
2005-06,19-Feb-06,Wake Forest,W,League,70,1.19,56.7,18.7,35.7,57.7,19,33,57.6,7,19,36.8,36.5,24,30,80,1.04,49.2,18.7,37.5,14.9,21,46,45.7,8,21,38.1,31.3,6,10,60,18,22,40,Mike Kitts,Mike Wood,Mike Stuart,-3.5
2005-06,15-Feb-06,Georgia Tech,W,League,74,1.11,52.7,17.7,38,62.5,25,41,61,3,15,20,26.8,23,35,65.7,1.02,59.4,25.8,21.8,35.9,18,36,50,9,17,52.9,32.1,12,19,63.2,16,31,47,Les Jones,Bernard Clinton,Roger Ayers,-11.5
2005-06,12-Feb-06,Miami,W,League,59,1.35,62.5,21.9,58.9,30.4,23,38,60.5,8,18,44.4,32.1,10,17,58.8,1.18,52,15.2,38.9,40,20,32,62.5,4,18,22.2,36,18,20,90,17,14,31,Jamie Luckie,Tony Greene,Tim Nestor,1
2005-06,7-Feb-06,Duke,L,League,80,1.04,44.8,26.4,53.6,43.3,21,51,41.2,6,16,37.5,23.9,23,29,79.3,1.09,57.6,20.1,22.4,40.7,19,39,48.7,10,20,50,33.9,19,24,79.2,21,24,45,Jamie Luckie,Jim Burr,Tim Higgins,5.5
2005-06,4-Feb-06,Clemson,W,League,71,1.08,53,29.8,50,58,22,38,57.9,3,12,25,24,23,29,79.3,0.87,42.9,25.5,36.8,14.3,21,45,46.7,4,18,22.2,28.6,7,9,77.8,15,25,40,Les Jones,Bryan Kersey,Jim Burr,-7.5
2005-06,2-Feb-06,Maryland,W,League,80,0.96,52.4,30,37.5,27.4,19,40,47.5,9,22,40.9,35.5,12,17,70.6,0.77,36.8,15,25.9,23.6,22,56,39.3,3,16,18.8,22.2,9,17,52.9,19,15,34,Karl Hess,Ed Corbett,Mike Kitts,4
2005-06,28-Jan-06,Arizona,W,Non-Conference,69,1.25,64.2,18.8,41.4,23.3,25,43,58.1,9,17,52.9,28.3,9,14,64.3,1,47.1,17.4,33.3,10.3,23,49,46.9,6,19,31.6,27.9,5,7,71.4,11,15,26,Bruce Hicks,Mark Reischling,Mike Reed,-3.5
2005-06,25-Jan-06,Boston College,L,League,67,1.11,57,28.5,43.9,44,15,29,51.7,9,21,42.9,42,17,22,77.3,1.21,59.3,13.5,37.3,33.9,26,44,59.1,6,15,40,25.4,11,20,55,23,24,47,Gary Maxwell,Jamie Luckie,Mike Eades,-3
2005-06,22-Jan-06,Florida State,W,League,71,1.14,67.6,32.5,42.9,24.1,17,33,51.5,13,21,61.9,38.9,8,13,61.5,1.13,56.2,19.8,35.7,39.3,21,37,56.8,7,19,36.8,33.9,17,22,77.3,20,15,35,Les Jones,Karl Hess,Tim Higgins,3
2005-06,19-Jan-06,UVA,L,League,71,0.96,42,19.7,41.3,20.3,17,43,39.5,8,26,30.8,37.7,10,14,71.4,1.01,42.2,14,27.8,50,17,39,43.6,5,19,26.3,32.8,23,29,79.3,21,17,38,Karl Hess,Les Jones,Bernard Clinton,-3
2005-06,14-Jan-06,Miami,L,League,69,1.01,47.3,23.1,33.8,36.4,14,30,46.7,8,25,32,45.5,18,20,90,1.17,43,14.4,47.7,53.1,17,45,37.8,7,19,36.8,29.7,26,34,76.5,24,17,41,Gary Maxwell,Duke Edsall,Mike Wood,-10.5
2005-06,10-Jan-06,Virginia Tech,W,League,69,0.93,55.4,36.2,43.9,43.5,15,31,48.4,7,15,46.7,32.6,13,20,65,0.88,43.2,17.4,27.4,32.2,21,46,45.7,3,13,23.1,22,10,19,52.6,19,19,38,Ed Corbett,Ted Valentine,Tony Greene,-1
2005-06,7-Jan-06,NC State,W,League,73,1.12,59.6,24.6,24.4,59.6,19,34,55.9,6,13,46.2,27.7,26,28,92.9,0.94,47.5,20.5,24,22.9,17,41,41.5,8,20,40,32.8,11,14,78.6,19,20,39,Karl Hess,Jamie Luckie,Mike Wood,-2.5
2005-06,3-Jan-06,Davidson,W,Non-Conference,80,1.03,50,25,46.6,47.6,27,53,50.9,3,10,30,15.9,19,30,63.3,0.73,37.7,25,23.7,20,14,43,32.6,7,22,31.8,33.8,9,13,69.2,20,25,45,Ray Natili,Curtis Blair,Mike Eades,-10.5
2005-06,28-Dec-05,Asheville,W,Non-Conference,84,1.06,47,21.4,40.7,49.2,27,54,50,3,13,23.1,19.4,26,33,78.8,0.56,31.2,34.4,28.9,17.2,17,49,34.7,2,15,13.3,23.4,7,11,63.6,10,24,34,Ted Valentine,Tim Nestor,Roger Ayers,
2005-06,21-Dec-05,USC,L,Non-Conference,76,0.78,43.5,33.1,34.2,42.6,13,31,41.9,7,23,30.4,42.6,12,23,52.2,0.98,58.6,25.1,26.5,22.4,16,37,43.2,12,21,57.1,36.2,6,13,46.2,17,22,39,Stanley Reynolds,Jim Giron,Martin Cota,-4.5
2005-06,17-Dec-05,Santa Clara,W,Non-Conference,70,1.08,56,21.3,40.4,56,19,33,57.6,6,17,35.3,34,20,28,71.4,0.83,38.2,19.9,33.8,14.7,17,46,37,6,22,27.3,32.4,6,10,60,16,23,39,Jamie Luckie,Ray Natili,Bryan Kersey,-17.5
2005-06,7-Dec-05,Saint Louis,W,Non-Conference,66,1.15,56.8,15.3,27.4,22,23,40,57.5,7,19,36.8,32.2,8,13,61.5,0.96,50.9,19.8,27.1,10.3,16,42,38.1,9,16,56.2,27.6,4,6,66.7,12,18,30,Bryan Kersey,Bernard Clinton,Mike Wood,-13.5
2005-06,3-Dec-05,Kentucky,W,Non-Conference,68,1.21,51.7,16.1,40.3,46.7,16,33,48.5,10,27,37,45,21,28,75,1.16,57.3,13.2,27.4,43.6,21,34,61.8,7,21,33.3,38.2,16,24,66.7,18,21,39,Tony Greene,Karl Hess,Doug Sirmons,7
